STATION,DATE,MLY-PRCP-NORMAL,MLY-SNOW-NORMAL,MLY-TAVG-NORMAL,MLY-TMAX-NORMAL,MLY-TMIN-NORMAL
USW00003822,1,3.28,0,50.7,61.4,40
USW00003822,2,2.8,0,54,65.1,42.9
USW00003822,3,3.5,0,60,71.4,48.6
USW00003822,4,3.39,0,66.7,78.2,55.2
USW00003822,5,3.62,0,74.1,84.7,63.4
USW00003822,6,6.65,0,80.1,89.6,70.7
USW00003822,7,5.75,0,83,92.3,73.7
USW00003822,8,5.46,0,82.1,90.8,73.3
USW00003822,9,4.35,0,77.7,86.4,69
USW00003822,10,3.72,0,68.8,79,58.6
USW00003822,11,2.39,0,59.1,70.2,48
USW00003822,12,3.21,0,53.2,63.7,42.6
